account_id,contact_id,insurance_type
93673877,68606880,Health Insurance
74090750,90541953,Car Insurance
20309852,53175567,House Insurance
6071800,7763108,Car Insurance
25252056,31439725,House Insurance
61807769,81145687,Car Insurance
90892789,29727848,Health Insurance
43250437,91492521,Health Insurance
72973155,57388874,Car Insurance
64573025,48988508,Health Insurance
79202701,9502764,Health Insurance
41376220,27761395,Car Insurance
29294441,25677619,Car Insurance
54750425,79666633,Health Insurance
43887786,32994857,Health Insurance
20971160,2958233,Health Insurance
82738235,31498030,House Insurance
2923030,26073422,House Insurance
71915477,18913507,House Insurance
62633335,53140577,Car Insurance
49598979,66609145,House Insurance
9634259,96769662,Health Insurance
24816852,7471692,House Insurance
62503718,68813613,House Insurance
47985302,68021207,House Insurance
70883916,92653483,House Insurance
52903772,12517502,Car Insurance
74976855,59915643,Health Insurance
8249121,74964352,Health Insurance
63380255,81933535,Health Insurance
23257685,55756193,House Insurance
27589278,25264939,Health Insurance
79679499,15383355,Car Insurance
21195122,8032220,House Insurance
25223766,39690014,Car Insurance
36842238,46878848,Health Insurance
8402631,73483727,Health Insurance
61351407,70896154,House Insurance
10953848,61363674,Car Insurance
26274778,50995951,House Insurance
17817916,26985881,Health Insurance
10040483,13335167,House Insurance
8774947,39220117,Health Insurance
33684904,43633190,Car Insurance
92604434,43007627,Health Insurance
18130228,99216201,Health Insurance
68842564,69359224,House Insurance
8876572,74896186,Health Insurance
38042139,59082505,Car Insurance
31523736,1463345,House Insurance
56057080,30083703,Health Insurance
30602819,26731378,Car Insurance
62435045,91498138,Health Insurance
21022104,64127796,Health Insurance
88189382,50571791,House Insurance
29018659,49112139,Health Insurance
38997298,12928550,House Insurance
17612067,60709963,House Insurance
66857795,34712249,Health Insurance
58226986,96787120,House Insurance
70101131,65807012,Car Insurance
58881251,58815680,House Insurance
74326345,62638321,Health Insurance
27897416,98072396,Car Insurance
7438943,23201430,House Insurance
20850187,66702892,Car Insurance
97474655,3108939,House Insurance
72907355,18238345,Health Insurance
8507563,78095354,House Insurance
65305542,49471734,Health Insurance
32547906,37376724,Car Insurance
41080312,86443736,Car Insurance
80062579,70114323,House Insurance
83414053,12559326,Health Insurance
74908857,76706008,Health Insurance
76044846,49967061,House Insurance
85042288,59224509,House Insurance
76989123,60281453,House Insurance
78986228,79783182,Health Insurance
63594748,15755766,Car Insurance
51813383,80869674,Car Insurance
77432526,70672153,Health Insurance
75521489,76564466,Health Insurance
2814809,44200009,Health Insurance
84242823,10714701,Health Insurance
6878217,39426500,Health Insurance
15765285,66743747,House Insurance
28628965,11590943,House Insurance
71903726,2406474,House Insurance
76889325,5405923,Health Insurance
14486886,84091048,Health Insurance
71343286,18812312,Health Insurance
97936460,92196429,Car Insurance
67907654,51269801,Car Insurance
14244801,2560895,House Insurance
13969921,27808206,House Insurance
28398776,50865780,Car Insurance
90568064,70315962,Health Insurance
21633967,79728630,House Insurance
46022029,43314262,House Insurance
66927692,86647085,Car Insurance
79701193,99927872,Car Insurance
45577519,3185815,Car Insurance
31293347,34374950,House Insurance
66740528,56745167,Car Insurance
97974517,80090779,Car Insurance
95244530,9375625,Health Insurance
25139299,48194480,House Insurance
14789469,79355050,House Insurance
30633938,34681286,House Insurance
75378496,40160651,Car Insurance
27804442,72758924,Health Insurance
54011601,40756285,Health Insurance
55854164,89757366,House Insurance
47918619,76963621,Health Insurance
69525296,82227824,Car Insurance
77959132,74789498,House Insurance
72496916,19468343,House Insurance
61336555,70876353,House Insurance
11599802,15572870,Car Insurance
64794975,28129675,Health Insurance
1512041,16990980,House Insurance
85908927,90359010,Health Insurance
65777241,95379311,House Insurance
98822152,78141773,House Insurance
49133216,65276944,Health Insurance
42800690,95089441,Car Insurance
79471473,74992063,Car Insurance
44728173,80074803,House Insurance
19189338,50077028,Health Insurance
145710,14360212,Health Insurance
47548225,57826594,Car Insurance
63868440,96949954,House Insurance
8102358,67441464,Car Insurance
59084314,62037007,House Insurance
59156458,86808674,Health Insurance
50208174,992162,House Insurance
9188460,74064610,Car Insurance
39639848,16511316,House Insurance
99306039,71818931,Car Insurance
21825835,69422495,House Insurance
42256289,11656657,House Insurance
48343193,12080577,Car Insurance
17885035,73757344,Health Insurance
13590459,90516418,Health Insurance
77384185,71758179,Car Insurance
75767480,40934461,Health Insurance
94382032,20731321,Health Insurance
28911563,31158480,Car Insurance
23534072,85107870,House Insurance
73777187,29529337,Car Insurance
46564881,60260273,House Insurance
61504498,21944988,House Insurance
67416371,41172746,Car Insurance
11923789,49329023,Car Insurance
29584695,54722503,Car Insurance
3027683,22381062,Health Insurance
66867777,38070663,House Insurance
5481035,90581921,Car Insurance
99452474,50597754,Car Insurance
46655346,27824959,Car Insurance
9237921,76201522,House Insurance
11253187,87362051,Car Insurance
54234251,46613267,Car Insurance
49628826,36848366,Health Insurance
32560126,42438318,Car Insurance
20547409,51890917,Health Insurance
61692378,86527628,Health Insurance
44996782,7905327,House Insurance
639960,62123002,Health Insurance
3404813,26245889,Car Insurance
20342753,43765261,Car Insurance
36690375,32217684,Car Insurance
50231185,45188661,Health Insurance
90996591,66964085,Car Insurance
53583810,23298221,House Insurance
3160531,46871626,House Insurance
17022030,59740883,Car Insurance
31571712,13443925,Health Insurance
31821178,24240844,Health Insurance
2009595,9435758,House Insurance
23625516,8712526,House Insurance
59393362,74154794,Car Insurance
86564598,93222026,Car Insurance
29530060,25553257,House Insurance
9204393,18379176,Car Insurance
22643286,75251345,House Insurance
25785491,93496030,Car Insurance
64311533,89123168,House Insurance
67754589,22616498,Health Insurance
12190899,3383640,House Insurance
49973887,10069852,Health Insurance
83876497,32923165,Health Insurance
40605233,12444861,House Insurance
45565676,70962777,House Insurance
31498451,35747325,Car Insurance
37903147,28062382,Car Insurance
56029645,66213286,House Insurance
64338474,9748473,Health Insurance
2590691,92605341,Car Insurance
29780356,75760460,Car Insurance
50082308,67379803,Health Insurance
87871989,89907502,House Insurance
81078703,28113545,House Insurance
6654446,84523064,House Insurance
74639149,36288303,House Insurance
382390,60291675,House Insurance
1291339,59435727,Health Insurance
62538487,14795622,House Insurance
77640982,54869586,House Insurance
86239737,5494834,Car Insurance
96437630,42686850,Health Insurance
85290740,25387105,Car Insurance
76604731,15577032,Car Insurance
92104468,2684613,Car Insurance
65190424,27913652,House Insurance
31459483,74399629,Car Insurance
44233764,60943399,Health Insurance
4730645,21005460,House Insurance
85380744,22695293,House Insurance
78865606,35544086,House Insurance
75456757,8735644,Health Insurance
67684160,55674926,House Insurance
6829354,7498758,Car Insurance
55868080,99537326,Health Insurance
53869554,82494173,Health Insurance
34524618,684750,House Insurance
40475452,82571292,Health Insurance
89024358,35401139,House Insurance
75211657,51825949,Car Insurance
32268795,48154260,Car Insurance
25031212,792454,Car Insurance
25094129,14086519,Health Insurance
76724146,51056396,Car Insurance
5756147,12329655,Health Insurance
